epoch,step,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
17,3293,,,,,,,,,,0.030410505831241608,0.03852519765496254,0.1333715319633484,0.19749172031879425,0.0,0.0,0.0,0.0,0.042177464812994,,,,,,,,,
18,3476,,,,,,,,,,,,,,,,,,,0.02197561226785183,0.02892562560737133,0.12593325972557068,0.19361485540866852,0.0,0.0,0.0,0.0,0.042598649859428406
18,3476,,,,,,,,,,0.027499891817569733,0.034605152904987335,0.12274600565433502,0.17983584105968475,0.0,0.0,0.0,0.0,0.03416579216718674,,,,,,,,,
19,3659,,,,,,,,,,,,,,,,,,,0.015911782160401344,0.02280331961810589,0.12061528861522675,0.1826642006635666,0.0,0.0,0.0,0.0,0.03720224276185036
19,3659,,,,,,,,,,0.024538807570934296,0.031503234058618546,0.11825408041477203,0.1723700761795044,0.0,0.0,0.0,0.0,0.03120088391005993,,,,,,,,,
20,3842,,,,,,,,,,,,,,,,,,,0.022321535274386406,0.030138228088617325,0.11925114691257477,0.19073615968227386,0.0,0.0,0.0,0.0,0.043620429933071136
20,3842,,,,,,,,,,0.0248809065669775,0.03156467527151108,0.11537759751081467,0.16871970891952515,0.0,0.0,0.0,0.0,0.030073082074522972,,,,,,,,,
21,4025,,,,,,,,,,,,,,,,,,,0.02011309564113617,0.02746136486530304,0.11890491843223572,0.18081720173358917,0.0,0.0,0.0,0.0,0.03642066568136215
21,4025,,,,,,,,,,0.0292655061930418,0.03633826971054077,0.12020136415958405,0.17807374894618988,0.0,0.0,0.0,0.0,0.03461027145385742,,,,,,,,,
22,4208,,,,,,,,,,,,,,,,,,,0.01787266694009304,0.02582414075732231,0.11294879764318466,0.17807114124298096,0.0,0.0,0.0,0.0,0.03740401566028595
22,4208,,,,,,,,,,0.021077483892440796,0.02794872224330902,0.11092756688594818,0.16245868802070618,0.0,0.0,0.0,0.0,0.027642641216516495,,,,,,,,,
23,4391,,,,,,,,,,,,,,,,,,,0.02640697918832302,0.03323622792959213,0.1081094741821289,0.16628150641918182,0.0,0.0,0.0,0.0,0.03221549838781357
23,4391,,,,,,,,,,0.02091202884912491,0.027562735602259636,0.11092525720596313,0.16259242594242096,0.0,0.0,0.0,0.0,0.027838703244924545,,,,,,,,,
24,4574,,,,,,,,,,,,,,,,,,,0.03092634677886963,0.03471531346440315,0.10665355622768402,0.17323891818523407,0.0,0.0,0.0,0.0,0.04092109575867653
24,4574,,,,,,,,,,0.024276413023471832,0.02999301254749298,0.10733486711978912,0.1566266417503357,0.0,0.0,0.0,0.0,0.02586398832499981,,,,,,,,,
25,4757,,,,,,,,,,,,,,,,,,,0.035493697971105576,0.03901810199022293,0.10585683584213257,0.1659334897994995,0.0,0.0,0.0,0.0,0.03439170494675636
25,4757,,,,,,,,,,0.0184828732162714,0.02461904287338257,0.1039857417345047,0.15154701471328735,0.0,0.0,0.0,0.0,0.023977942764759064,,,,,,,,,
26,4940,,,,,,,,,,,,,,,,,,,0.05607176199555397,0.058047935366630554,0.10309029370546341,0.1589168757200241,0.0,0.0,0.0,0.0,0.03267843276262283
26,4940,,,,,,,,,,0.022070320323109627,0.0276815015822649,0.10095814615488052,0.1474340558052063,0.0,0.0,0.0,0.0,0.0228413138538599,,,,,,,,,
27,5123,,,,,,,,,,,,,,,,,,,0.013708154670894146,0.019209032878279686,0.10840503871440887,0.1639561653137207,0.0,0.0,0.0,0.0,0.031018977984786034
27,5123,,,,,,,,,,0.020705942064523697,0.026277659460902214,0.09993966668844223,0.145708367228508,0.0,0.0,0.0,0.0,0.02226123958826065,,,,,,,,,
28,5306,,,,,,,,,,,,,,,,,,,0.014763851650059223,0.019914858043193817,0.09856974333524704,0.15574008226394653,0.0,0.0,0.0,0.0,0.029348835349082947
28,5306,,,,,,,,,,0.01789243333041668,0.023413073271512985,0.09820634126663208,0.14250405132770538,0.0,0.0,0.0,0.0,0.021133268252015114,,,,,,,,,
29,5489,,,,,,,,,,,,,,,,,,,0.023868897929787636,0.028530845418572426,0.09856515377759933,0.15176603198051453,0.0,0.0,0.0,0.0,0.027329128235578537
29,5489,,,,,,,,,,0.018819564953446388,0.02412661537528038,0.09602494537830353,0.140217587351799,0.0,0.0,0.0,0.0,0.020575018599629402,,,,,,,,,
30,5672,,,,,,,,,,,,,,,,,,,0.0254670362919569,0.02876029722392559,0.09686224907636642,0.15082134306430817,0.0,0.0,0.0,0.0,0.027292003855109215
30,5672,,,,,,,,,,0.017979301512241364,0.02340933121740818,0.09573235362768173,0.13971173763275146,0.0,0.0,0.0,0.0,0.020447080954909325,,,,,,,,,
31,5855,,,,,,,,,,,,,,,,,,,0.012095317244529724,0.016842646524310112,0.09562557190656662,0.15190604329109192,0.0,0.0,0.0,0.0,0.02887875586748123
31,5855,,,,,,,,,,0.017144015058875084,0.022548170760273933,0.09406332671642303,0.13763682544231415,0.0,0.0,0.0,0.0,0.019820109009742737,,,,,,,,,
32,6038,,,,,,,,,,,,,,,,,,,0.016057146713137627,0.02269192785024643,0.09463170915842056,0.15084581077098846,0.0,0.0,0.0,0.0,0.02898980863392353
32,6038,,,,,,,,,,0.01671515218913555,0.021710285916924477,0.09067291021347046,0.13269558548927307,0.0,0.0,0.0,0.0,0.01830114983022213,,,,,,,,,
33,6221,,,,,,,,,,,,,,,,,,,0.011496108956634998,0.018771609291434288,0.0925293117761612,0.1455255001783371,0.0,0.0,0.0,0.0,0.025288714095950127
33,6221,,,,,,,,,,0.014570871368050575,0.019781464710831642,0.0890657976269722,0.13046784698963165,0.0,0.0,0.0,0.0,0.017640559002757072,,,,,,,,,
34,6404,,,,,,,,,,,,,,,,,,,0.011598793789744377,0.017609020695090294,0.09541632980108261,0.1479848027229309,0.0,0.0,0.0,0.0,0.025463201105594635
34,6404,,,,,,,,,,0.014048523269593716,0.019223514944314957,0.08837791532278061,0.12930229306221008,0.0,0.0,0.0,0.0,0.017292771488428116,,,,,,,,,
35,6587,,,,,,,,,,,,,,,,,,,0.01348149124532938,0.019131796434521675,0.09059938043355942,0.14234530925750732,0.0,0.0,0.0,0.0,0.02440772019326687
35,6587,,,,,,,,,,0.015434486791491508,0.02075386978685856,0.08936591446399689,0.13167551159858704,0.0,0.0,0.0,0.0,0.01809023879468441,,,,,,,,,
36,6770,,,,,,,,,,,,,,,,,,,0.014787704683840275,0.02070631831884384,0.09360118955373764,0.14369387924671173,0.0,0.0,0.0,0.0,0.024336962029337883
36,6770,,,,,,,,,,0.013159486465156078,0.018261047080159187,0.0870782658457756,0.12857745587825775,0.0,0.0,0.0,0.0,0.017102418467402458,,,,,,,,,
37,6953,,,,,,,,,,,,,,,,,,,0.01071393396705389,0.015496978536248207,0.08968836814165115,0.1394556164741516,0.0,0.0,0.0,0.0,0.022742515429854393
37,6953,,,,,,,,,,0.013238576240837574,0.018327008932828903,0.08568625897169113,0.12597815692424774,0.0,0.0,0.0,0.0,0.01640448532998562,,,,,,,,,
38,7136,,,,,,,,,,,,,,,,,,,0.01224835030734539,0.01711871474981308,0.08745267242193222,0.13822461664676666,0.0,0.0,0.0,0.0,0.02282191626727581
38,7136,,,,,,,,,,0.01257665827870369,0.017485735937952995,0.0840873196721077,0.12404251098632812,0.0,0.0,0.0,0.0,0.01583060994744301,,,,,,,,,
39,7319,,,,,,,,,,,,,,,,,,,0.01585710421204567,0.019974319264292717,0.08788268268108368,0.1389031559228897,0.0,0.0,0.0,0.0,0.023462511599063873
39,7319,,,,,,,,,,0.013317357748746872,0.018182702362537384,0.0831831693649292,0.12287452816963196,0.0,0.0,0.0,0.0,0.015592335723340511,,,,,,,,,
40,7502,,,,,,,,,,,,,,,,,,,0.0107507836073637,0.015797514468431473,0.08615051209926605,0.13643980026245117,0.0,0.0,0.0,0.0,0.022178644314408302
40,7502,,,,,,,,,,0.011951006017625332,0.01677781715989113,0.08238888531923294,0.12179429084062576,0.0,0.0,0.0,0.0,0.015283076092600822,,,,,,,,,
41,7685,,,,,,,,,,,,,,,,,,,0.023500461131334305,0.027130937203764915,0.0866796225309372,0.13652940094470978,0.0,0.0,0.0,0.0,0.02263236977159977
41,7685,,,,,,,,,,0.012014358304440975,0.01673971302807331,0.08172772079706192,0.12090153992176056,0.0,0.0,0.0,0.0,0.015079393051564693,,,,,,,,,
42,7868,,,,,,,,,,,,,,,,,,,0.010195031762123108,0.015489260666072369,0.0848870724439621,0.13493794202804565,0.0,0.0,0.0,0.0,0.021590273827314377
42,7868,,,,,,,,,,0.012190443463623524,0.016973791643977165,0.08141539245843887,0.12062427401542664,0.0,0.0,0.0,0.0,0.014989666640758514,,,,,,,,,
43,8051,,,,,,,,,,,,,,,,,,,0.010902855545282364,0.016594169661402702,0.08561968058347702,0.13504278659820557,0.0,0.0,0.0,0.0,0.02162572368979454
43,8051,,,,,,,,,,0.011170731857419014,0.015902746468782425,0.08070795238018036,0.11983300745487213,0.0,0.0,0.0,0.0,0.014782048761844635,,,,,,,,,
44,8234,,,,,,,,,,,,,,,,,,,0.012280205264687538,0.016413884237408638,0.08464276790618896,0.13338640332221985,0.0,0.0,0.0,0.0,0.020904280245304108
44,8234,,,,,,,,,,0.010910904966294765,0.015576320700347424,0.08035316318273544,0.11925419420003891,0.0,0.0,0.0,0.0,0.01460911612957716,,,,,,,,,
45,8417,,,,,,,,,,,,,,,,,,,0.01041464228183031,0.015109497122466564,0.08406838774681091,0.13304147124290466,0.0,0.0,0.0,0.0,0.020856624469161034
45,8417,,,,,,,,,,0.010822123847901821,0.015509767457842827,0.07971949130296707,0.11860600113868713,0.0,0.0,0.0,0.0,0.014459099620580673,,,,,,,,,
46,8600,,,,,,,,,,,,,,,,,,,0.011840568855404854,0.016631491482257843,0.08372686058282852,0.13287144899368286,0.0,0.0,0.0,0.0,0.020826498046517372
46,8600,,,,,,,,,,0.010605617426335812,0.015138830058276653,0.07934582978487015,0.11813510209321976,0.0,0.0,0.0,0.0,0.01432361826300621,,,,,,,,,
47,8783,,,,,,,,,,,,,,,,,,,0.011121237650513649,0.015043801628053188,0.08366509526968002,0.132582426071167,0.0,0.0,0.0,0.0,0.020729782059788704
47,8783,,,,,,,,,,0.010498397052288055,0.015128260478377342,0.07919257134199142,0.11819417774677277,0.0,0.0,0.0,0.0,0.01431884802877903,,,,,,,,,
48,8966,,,,,,,,,,,,,,,,,,,0.011447956785559654,0.015426935628056526,0.08315566927194595,0.13224169611930847,0.0,0.0,0.0,0.0,0.020675966516137123
48,8966,,,,,,,,,,0.010502533987164497,0.014947913587093353,0.0791073590517044,0.11781385540962219,0.0,0.0,0.0,0.0,0.014263144694268703,,,,,,,,,
49,9149,,,,,,,,,,,,,,,,,,,0.009873224422335625,0.015384737402200699,0.08306379616260529,0.13212832808494568,0.0,0.0,0.0,0.0,0.02058131992816925
49,9149,,,,,,,,,,0.01057577133178711,0.015034472569823265,0.07883843779563904,0.11760979890823364,0.0,0.0,0.0,0.0,0.014198921620845795,,,,,,,,,
50,9332,,,,,,,,,,,,,,,,,,,0.010128122754395008,0.014885786920785904,0.08298426866531372,0.13191646337509155,0.0,0.0,0.0,0.0,0.020479008555412292
50,9332,,,,,,,,,,0.010512884706258774,0.015000558458268642,0.07874972373247147,0.11753924936056137,0.0,0.0,0.0,0.0,0.01418715063482523,,,,,,,,,
51,9515,,,,,,,,,,,,,,,,,,,0.01075533963739872,0.014939411543309689,0.08288908749818802,0.1318838894367218,0.0,0.0,0.0,0.0,0.020484810695052147
51,9515,,,,,,,,,,0.010391159914433956,0.014927768148481846,0.07881656289100647,0.11756687611341476,0.0,0.0,0.0,0.0,0.014189089648425579,,,,,,,,,
52,9698,,,,,,,,,,,,,,,,,,,0.010232001543045044,0.01495154295116663,0.08283834159374237,0.13172219693660736,0.0,0.0,0.0,0.0,0.020416462793946266
