epoch,step,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
12,2378,,,,,,,,,,,,,,,,,,,0.037192150950431824,0.06951527297496796,0.19710110127925873,0.29000914096832275,0.0,0.0,0.0,0.0,0.09047024697065353
12,2378,,,,,,,,,,0.060799483209848404,0.08015832304954529,0.18620701134204865,0.2789151668548584,0.0,0.0,0.0,0.0,0.08713287860155106,,,,,,,,,
13,2561,,,,,,,,,,,,,,,,,,,0.1333632469177246,0.13962160050868988,0.1796768456697464,0.26435232162475586,0.0,0.0,0.0,0.0,0.0900985449552536
13,2561,,,,,,,,,,0.045708175748586655,0.06463075429201126,0.18034905195236206,0.2666684091091156,0.0,0.0,0.0,0.0,0.07681264728307724,,,,,,,,,
14,2744,,,,,,,,,,,,,,,,,,,0.028859471902251244,0.05545821040868759,0.1763153374195099,0.25779789686203003,0.0,0.0,0.0,0.0,0.07050741463899612
14,2744,,,,,,,,,,0.053010351955890656,0.06848474591970444,0.17696286737918854,0.26086950302124023,0.0,0.0,0.0,0.0,0.07440976053476334,,,,,,,,,
15,2927,,,,,,,,,,,,,,,,,,,0.03887684643268585,0.056431595236063004,0.1658434122800827,0.24591223895549774,0.0,0.0,0.0,0.0,0.06449085474014282
15,2927,,,,,,,,,,0.03814254701137543,0.053505294024944305,0.17051908373832703,0.2513420283794403,0.0,0.0,0.0,0.0,0.0673346146941185,,,,,,,,,
16,3110,,,,,,,,,,,,,,,,,,,0.031146813184022903,0.053112149238586426,0.173892080783844,0.2582381069660187,0.0,0.0,0.0,0.0,0.07036611437797546
16,3110,,,,,,,,,,0.03745714947581291,0.05055065453052521,0.1649608612060547,0.24344658851623535,0.0,0.0,0.0,0.0,0.06319021433591843,,,,,,,,,
17,3293,,,,,,,,,,,,,,,,,,,0.03023073635995388,0.04430883750319481,0.1575750857591629,0.23409289121627808,0.0,0.0,0.0,0.0,0.057467635720968246
17,3293,,,,,,,,,,0.04176412150263786,0.05487743765115738,0.1686636209487915,0.2514972388744354,0.0,0.0,0.0,0.0,0.07093547284603119,,,,,,,,,
18,3476,,,,,,,,,,,,,,,,,,,0.06353717297315598,0.06804118305444717,0.15808695554733276,0.22967438399791718,0.0,0.0,0.0,0.0,0.05783236026763916
18,3476,,,,,,,,,,0.03249714523553848,0.0438525453209877,0.1560884565114975,0.22974584996700287,0.0,0.0,0.0,0.0,0.05551133677363396,,,,,,,,,
19,3659,,,,,,,,,,,,,,,,,,,0.03719475492835045,0.04386255145072937,0.15901215374469757,0.22981540858745575,0.0,0.0,0.0,0.0,0.05513516813516617
19,3659,,,,,,,,,,0.03527645766735077,0.04540439322590828,0.15432018041610718,0.2267250269651413,0.0,0.0,0.0,0.0,0.05451177433133125,,,,,,,,,
20,3842,,,,,,,,,,,,,,,,,,,0.02393762767314911,0.03496021404862404,0.1518608182668686,0.22026222944259644,0.0,0.0,0.0,0.0,0.05019766464829445
20,3842,,,,,,,,,,0.03310529142618179,0.04291561618447304,0.15182054042816162,0.223239466547966,0.0,0.0,0.0,0.0,0.05281953513622284,,,,,,,,,
21,4025,,,,,,,,,,,,,,,,,,,0.026834744960069656,0.03629001975059509,0.158050999045372,0.22404824197292328,0.0,0.0,0.0,0.0,0.051906000822782516
21,4025,,,,,,,,,,0.03455540910363197,0.04368763417005539,0.14805787801742554,0.2177315503358841,0.0,0.0,0.0,0.0,0.05081988126039505,,,,,,,,,
22,4208,,,,,,,,,,,,,,,,,,,0.052720025181770325,0.0607999712228775,0.14164993166923523,0.20758982002735138,0.0,0.0,0.0,0.0,0.04720186069607735
22,4208,,,,,,,,,,0.035479653626680374,0.04472936689853668,0.15069173276424408,0.22223353385925293,0.0,0.0,0.0,0.0,0.05342528596520424,,,,,,,,,
23,4391,,,,,,,,,,,,,,,,,,,0.018721196800470352,0.02947133779525757,0.13781599700450897,0.20251041650772095,0.0,0.0,0.0,0.0,0.04229503497481346
23,4391,,,,,,,,,,0.03156181797385216,0.040041811764240265,0.14267469942569733,0.21060673892498016,0.0,0.0,0.0,0.0,0.04723643511533737,,,,,,,,,
24,4574,,,,,,,,,,,,,,,,,,,0.014348049648106098,0.02520349621772766,0.13595977425575256,0.1997082233428955,0.0,0.0,0.0,0.0,0.04090649634599686
24,4574,,,,,,,,,,0.02711961790919304,0.035594917833805084,0.14108246564865112,0.20726314187049866,0.0,0.0,0.0,0.0,0.04528677463531494,,,,,,,,,
25,4757,,,,,,,,,,,,,,,,,,,0.0184890478849411,0.02739608660340309,0.13477805256843567,0.1965583711862564,0.0,0.0,0.0,0.0,0.039712462574243546
25,4757,,,,,,,,,,0.024348093196749687,0.03244860842823982,0.13552330434322357,0.19910652935504913,0.0,0.0,0.0,0.0,0.041331708431243896,,,,,,,,,
26,4940,,,,,,,,,,,,,,,,,,,0.031108209863305092,0.03823674097657204,0.13116921484470367,0.1926237940788269,0.0,0.0,0.0,0.0,0.038911789655685425
26,4940,,,,,,,,,,0.027481283992528915,0.034335799515247345,0.132892906665802,0.1955072283744812,0.0,0.0,0.0,0.0,0.040104273706674576,,,,,,,,,
27,5123,,,,,,,,,,,,,,,,,,,0.020601946860551834,0.028665397316217422,0.12729135155677795,0.18822024762630463,0.0,0.0,0.0,0.0,0.036581024527549744
27,5123,,,,,,,,,,0.023318052291870117,0.030504513531923294,0.13066896796226501,0.1913512945175171,0.0,0.0,0.0,0.0,0.038110341876745224,,,,,,,,,
28,5306,,,,,,,,,,,,,,,,,,,0.01636090874671936,0.024387981742620468,0.1265893578529358,0.1883997768163681,0.0,0.0,0.0,0.0,0.0366457998752594
28,5306,,,,,,,,,,0.025957342237234116,0.032682448625564575,0.12863321602344513,0.1892581731081009,0.0,0.0,0.0,0.0,0.037524230778217316,,,,,,,,,
29,5489,,,,,,,,,,,,,,,,,,,0.017261750996112823,0.02319362573325634,0.1282758265733719,0.186848983168602,0.0,0.0,0.0,0.0,0.03571247309446335
29,5489,,,,,,,,,,0.024293679744005203,0.0329490602016449,0.13404791057109833,0.1996494084596634,0.0,0.0,0.0,0.0,0.04350994527339935,,,,,,,,,
30,5672,,,,,,,,,,,,,,,,,,,0.026392219588160515,0.03252798691391945,0.12485411018133163,0.18171192705631256,0.0,0.0,0.0,0.0,0.03432616591453552
30,5672,,,,,,,,,,0.022936487570405006,0.02999773994088173,0.1279361993074417,0.18984512984752655,0.0,0.0,0.0,0.0,0.038472943007946014,,,,,,,,,
31,5855,,,,,,,,,,,,,,,,,,,0.012955320067703724,0.0207012090831995,0.12077885121107101,0.17823170125484467,0.0,0.0,0.0,0.0,0.032462045550346375
